onset	duration	trial_type	value	sample
19.200000000000003	5.25	Noise	2	100
43.776	5.25	Control	1	228
64.512	5.25	Noise	2	336
85.632	5.25	Control	1	446
104.44800000000001	5.25	Control	1	544
123.456	5.25	Noise	2	643
148.608	5.25	Speech	3	774
171.45600000000002	5.25	Speech	3	893
192.96	5.25	Control	1	1005
216.0	5.25	Control	1	1125
235.96800000000002	5.25	Noise	2	1229
251.52	5.25	Control	1	1310
267.072	5.25	Speech	3	1391
288.76800000000003	5.25	Noise	2	1504
305.856	5.25	Noise	2	1593
325.824	5.25	Speech	3	1697
343.296	5.25	Control	1	1788
364.416	5.25	Speech	3	1898
388.608	5.25	Speech	3	2024
409.15200000000004	5.25	Control	1	2131
431.04	5.25	Speech	3	2245
454.27200000000005	5.25	Speech	3	2366
471.744	5.25	Speech	3	2457
490.36800000000005	5.25	Control	1	2554
506.68800000000005	5.25	Control	1	2639
528.384	5.25	Speech	3	2752
545.856	5.25	Noise	2	2843
563.712	5.25	Noise	2	2936
587.3280000000001	5.25	Control	1	3059
610.368	5.25	Control	1	3179
631.6800000000001	5.25	Noise	2	3290
653.568	5.25	Speech	3	3404
672.576	5.25	Control	1	3503
690.048	5.25	Speech	3	3594
707.904	5.25	Speech	3	3687
724.224	5.25	Noise	2	3772
739.9680000000001	5.25	Speech	3	3854
755.904	5.25	Control	1	3937
780.096	5.25	Noise	2	4063
802.368	5.25	Speech	3	4179
819.84	5.25	Noise	2	4270
840.768	5.25	Control	1	4379
856.7040000000001	5.25	Noise	2	4462
879.552	5.25	Noise	2	4581
901.8240000000001	5.25	Control	1	4697
918.72	5.25	Speech	3	4785
939.648	5.25	Speech	3	4894
961.5360000000001	5.25	Noise	2	5008
978.432	5.25	Noise	2	5096
999.36	5.25	Noise	2	5205
1017.0240000000001	5.25	Control	1	5297
1038.72	5.25	Speech	3	5410
1063.104	5.25	Speech	3	5537
1084.2240000000002	5.25	Control	1	5647
1102.0800000000002	5.25	Noise	2	5740
1117.632	5.25	Noise	2	5821
1139.904	5.25	Control	1	5937
1156.4160000000002	5.25	Noise	2	6023
1178.304	5.25	Control	1	6137
1200.768	5.25	Speech	3	6254
